,Company,Job type,State,date Posted,Part time/full time,Min salary,Max salary,Avg_salary,Posting_age_days,job_description
82,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
83,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
84,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
85,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
86,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
87,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
88,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
89,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
90,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
91,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
92,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
93,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
94,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
95,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
96,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
97,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
98,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
99,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
100,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
101,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
102,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
103,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
104,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
105,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
106,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
107,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
108,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
109,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
110,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
111,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
112,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
113,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
114,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
115,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
116,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
117,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
118,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
119,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
120,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
121,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
122,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
123,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
124,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
125,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
126,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
127,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
128,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
129,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
130,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
131,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
132,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
133,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
134,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
135,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
136,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
137,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
138,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
139,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
140,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
141,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; Migration Specialist,Delhi,2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; Migration Specialist role in Delhi.
Average salary: $977,083."
142,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
143,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
144,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
145,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
